,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
1081,1.77,1.25,0.153,0.0414,0.0393,0.51,44.58,2.02,162.87,0.14150000000000001,17.59,7.94,-2.73,7.92,1.55,207.45,0.0676,0.625,1.3,0.055099999999999996,0.1266,0
595,2.24,1.12,0.2898,0.11939999999999999,0.11259999999999999,0.89,39.07,9.21,118.53,0.2849,7.91,3.58,0.46,2.94,1.43,157.61,0.33799999999999997,0.6022,1.12,0.0374,0.1091,0
557,0.8,0.8,0.7117,0.15130000000000002,0.1244,0.26,77.85,4.62,35.12,0.6015999999999999,2.1,0.5,0.09,0.57,1.62,112.98,0.26839999999999997,0.44409999999999994,0.8,0.046,0.3626,0
1288,0.51,0.81,0.4003,0.1023,0.099,0.864,93.31,3.86,21.92,0.4214,8.73,2.06,0.87,5.53,2.16,115.23,0.2876,0.33520000000000005,0.84,0.066,0.4004,0
341,2.51,0.89,-0.0726,0.0719,0.0726,0.73,58.95,6.11,71.93,0.2161,8.17,2.83,0.65,4.26,1.29,130.88,0.1784,0.6943,0.89,0.0159,0.0863,0
603,2.85,1.17,0.2427,0.1393,0.13119999999999998,1.31,34.16,10.54,113.56,0.22719999999999999,9.97,5.45,-1.16,2.94,1.52,147.73,0.2613,0.6559999999999999,1.17,0.0318,0.1023,0
978,0.95,1.62,-0.6579,0.0076,0.0077,0.02,57.08,3.15,53.68,-1.3158,2.1,0.65,0.15,0.06,1.94,110.77,-0.1069,0.4851,1.62,0.009000000000000001,0.23559999999999998,0
202,1.06,0.83,0.0126,0.0897,0.0872,1.1539,113.68,2.38,35.9,0.048499999999999995,13.2,8.02,2.25,3.56,1.47,149.58,0.0655,0.5102,0.84,0.054000000000000006,0.33130000000000004,0
591,2.57,1.02,-0.2415,0.1273,0.1208,0.72,40.59,8.87,120.06,0.40990000000000004,5.96,3.11,-1.29,1.49,1.32,160.66,0.47159999999999996,0.6259,1.02,0.0368,0.1284,0
677,1.09,1.29,0.0693,0.0429,0.04190000000000001,0.2278,32.31,2.79,67.7,0.0693,5.44,3.73,0.48,0.06,1.68,100.01,0.0867,0.5122,1.29,0.0385,0.07150000000000001,0
1294,0.84,0.82,0.3678,0.0692,0.07139999999999999,0.584,84.26,2.14,22.14,0.4669,11.39,3.26,1.14,6.96,1.49,106.4,0.6865000000000001,0.44689999999999996,0.82,0.0676,0.3909,0
1435,1.7,0.5,0.2208,0.08460000000000001,0.08,0.95,87.9,2.05,31.8,0.1978,11.59,5.67,1.55,4.72,0.95,119.71,0.24710000000000001,0.606,0.5,0.057800000000000004,0.34119999999999995,0
332,2.39,0.93,0.2186,0.0441,0.042,0.28,51.41,5.25,59.07,0.3845,5.25,1.74,-1.21,2.42,1.36,110.48,0.2408,0.6926000000000001,0.93,0.0103,0.0728,0
170,0.86,0.81,0.1153,0.1185,0.11539999999999999,0.4828,108.29,2.49,21.94,0.1054,8.37,3.79,0.44,3.22,1.55,130.22,0.2016,0.4628,0.81,0.0647,0.41509999999999997,0
830,1.76,0.79,0.2151,0.0613,0.061399999999999996,0.43,102.15,0.88,10.23,0.252,8.13,4.24,0.78,2.66,1.32,112.37,0.2073,0.6274000000000001,0.79,0.0857,0.39380000000000004,0
1200,0.89,1.17,0.2688,0.10949999999999999,0.055,0.23,123.71,2.91,124.29,0.23600000000000002,6.58,1.41,-0.39,4.06,1.65,248.0,0.32909999999999995,0.45909999999999995,1.17,0.0611,0.281,0
402,0.31,4.03,0.10640000000000001,0.0689,0.0674,0.31,71.07,3.8,83.5,0.1104,4.61,1.07,0.01,2.44,5.23,154.56,0.1628,0.2339,4.03,0.1753,0.4625,1
678,1.04,1.38,0.0675,0.1002,0.0958,0.544,31.2,5.77,69.82,0.0634,5.68,3.95,0.8,0.06,1.73,101.02,0.0638,0.501,1.38,0.0451,0.0779,0
692,1.18,1.48,0.23010000000000003,0.1623,0.1521,1.8313,31.0,11.61,87.92,0.24359999999999998,12.08,7.32,1.28,3.07,1.82,118.92,0.0677,0.5068,1.48,0.041100000000000005,0.0883,0
622,2.43,1.15,-0.0415,0.0571,0.056100000000000004,0.81,35.07,7.7,108.34,-0.0349,14.48,8.28,2.92,4.43,1.47,143.41,0.07429999999999999,0.6275999999999999,1.15,0.0165,0.0696,0
1204,1.91,0.79,0.8826,0.0998,0.0958,0.38,99.49,3.62,116.37,1.0575,3.95,1.11,-0.15,1.77,1.2,215.86,0.9951000000000001,0.6143,0.79,0.0688,0.2816,0
986,1.12,1.03,3.865,0.0536,0.051699999999999996,0.119,45.41,3.96,69.08,4.0494,2.3,1.0,-0.31,0.06,1.33,114.49,0.5972999999999999,0.5239,1.03,0.0537,0.23600000000000002,0
667,1.42,1.06,0.1375,0.1696,0.1575,0.571,39.15,6.9,63.53,0.18489999999999998,3.62,2.2,0.22,0.1,1.53,102.68,0.2576,0.5781000000000001,1.06,0.0438,0.0665,0
1359,0.78,0.91,1.5829,0.0775,0.0708,0.1691,62.56,2.88,23.83,0.147,2.39,0.34,0.21,0.99,1.45,86.39,0.1023,0.4366,0.91,0.0501,0.1736,0
1145,1.21,0.86,0.3299,0.0207,0.020499999999999997,0.09,55.9,1.61,60.99,0.3464,4.39,1.16,0.14,1.98,1.26,116.9,0.1427,0.5429999999999999,0.86,0.0229,0.1288,0
931,3.91,0.32,27.3981,0.0,0.39549999999999996,0.302,63.4,4.26,44.97,21.375,0.76,-0.47,0.05,0.1,0.56,108.36,-0.030299999999999997,0.7785,0.32,0.1432,0.2492,0
695,1.28,1.4,0.12710000000000002,0.1116,0.10710000000000001,1.4015,34.52,7.82,87.97,0.1039,13.08,8.32,1.42,3.07,1.77,122.49,0.1367,0.5263,1.4,0.0381,0.0827,0
652,1.36,0.93,0.47840000000000005,0.2546,0.2332,0.4048,39.24,9.17,56.41,0.4671,3.47,1.47,0.91,0.66,1.42,95.65,0.2271,0.5652,0.93,0.044800000000000006,0.09269999999999999,0
193,0.99,0.79,0.2582,0.0868,0.085,0.8876,106.24,1.69,27.03,0.2815,10.33,5.33,0.79,3.59,1.47,133.28,0.1116,0.4961,0.8,0.078,0.3886,0
544,1.47,0.88,0.2094,0.037000000000000005,0.0363,0.94,90.56,0.99,16.6,0.1882,33.62,13.08,0.48,18.6,1.33,107.17,0.1054,0.5974,0.88,0.0546,0.3418,0
