,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
983,1.01,1.74,0.3029,0.0138,0.0139,0.029,69.89,3.86,65.64,1.7361000000000002,2.12,0.78,-0.09,0.06,2.05,135.53,-0.17129999999999998,0.4953,1.74,0.0078000000000000005,0.273,0
481,0.82,1.0,0.2492,0.06559999999999999,0.0635,0.2794,114.34,0.79,28.36,0.2165,4.4,1.97,0.78,0.34,1.5,142.7,0.2489,0.4322,1.0,0.10949999999999999,0.5664,0
669,1.26,1.13,0.1869,0.0449,0.0438,0.1725,39.97,2.25,61.31,0.1865,3.94,2.45,0.08,0.1,1.59,101.28,0.17579999999999998,0.5473,1.13,0.0359,0.0649,0
1444,2.29,0.33,0.0929,0.1245,0.1216,1.3,91.35,2.96,28.42,0.0633,10.72,5.97,4.09,3.35,0.79,119.77,0.11470000000000001,0.6772,0.33,0.0542,0.33049999999999996,0
1035,0.51,1.37,0.22460000000000002,0.04,0.0394,0.11,109.68,1.64,208.45,0.1096,2.81,0.73,-0.17,0.99,1.81,318.14,0.24789999999999998,0.3335,1.37,0.1184,0.39909999999999995,1
1192,1.28,0.94,0.1063,0.1711,0.15810000000000002,1.07,75.35,4.78,87.72,0.0782,6.74,4.03,0.51,1.44,1.44,163.07,0.32420000000000004,0.5616,0.94,0.0553,0.2646,0
1480,4.15,0.85,0.0096,0.171,0.1702,1.14,31.21,11.53,89.78,-0.0287,6.68,3.92,1.85,1.47,1.09,120.99,0.1413,0.8040999999999999,0.85,0.0176,0.0852,0
1091,2.22,1.23,0.1542,0.1001,0.098,1.59,41.39,6.52,159.74,0.1772,15.79,8.58,0.03,5.47,1.46,201.13,0.1043,0.6758,1.26,0.0426,0.1183,0
358,2.67,0.9,0.24059999999999998,0.0233,0.0223,0.29,38.85,2.32,70.03,0.201,12.28,6.63,-1.61,4.38,1.26,108.88,0.1975,0.6970999999999999,0.94,0.014199999999999999,0.0757,0
201,1.05,0.81,0.2064,0.06570000000000001,0.06559999999999999,0.8489,112.97,1.59,34.47,0.26940000000000003,12.9,7.72,1.14,3.56,1.49,147.44,0.0892,0.5082,0.82,0.058600000000000006,0.3356,0
1389,0.62,1.01,0.1182,0.061200000000000004,0.06309999999999999,0.21,78.45,4.59,30.11,0.1822,3.27,0.68,0.16,0.29,1.9,108.55,0.018799999999999997,0.3791,1.01,0.030299999999999997,0.1568,0
1181,0.49,1.36,0.2408,0.0103,0.0102,0.0542,70.14,1.28,53.01,1.5116999999999998,5.32,2.2,-0.45,1.59,2.28,123.15,0.1216,0.3282,1.42,0.0216,0.2046,0
696,1.14,1.45,0.1423,0.1631,0.1522,2.105,29.6,12.16,83.7,0.2382,13.97,9.02,2.35,3.11,1.87,113.3,0.1524,0.4974,1.55,0.0421,0.0875,0
1504,2.58,0.8,0.042,0.1349,0.1143,0.74,47.68,7.55,86.76,0.0647,6.02,2.83,0.2,1.88,1.22,134.43,0.0348,0.7147,0.81,0.0172,0.0795,0
329,2.43,0.81,0.23870000000000002,0.0842,0.0742,0.43,56.65,6.35,46.82,0.2833,5.07,1.63,0.26,2.42,1.3,103.47,0.2075,0.6978,0.81,0.014199999999999999,0.0757,0
